Name,Category,Integration,Description,Url,Selectable with
action_values,ad-insights-account,facebook-ads,The total value of all conversions attributed to your ads.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#action_values,
converted_product_quantity,ad-insights-account,facebook-ads,The number of products purchased which are recorded by your merchant partner's pixel or app SDK for a given product ID and driven by your ads. Has to be used together with converted product ID breakdown.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#converted_product_quantity,
converted_product_value,ad-insights-account,facebook-ads,The value of purchases recorded by your merchant partner's pixel or app SDK for a given product ID and driven by your ads. Has to be used together with converted product ID breakdown.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#converted_product_value,
cost_per_inline_link_click,ad-insights-account,facebook-ads,The average cost of each inline link click.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_inline_link_click,
cost_per_inline_post_engagement,ad-insights-account,facebook-ads,The average cost of each inline post engagement.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_inline_post_engagement,
inline_link_click_ctr,ad-insights-account,facebook-ads,The percentage of time people saw your ads and performed an inline link click.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#inline_link_click_ctr,
inline_link_clicks,ad-insights-account,facebook-ads,"The number of clicks on links to select destinations or experiences, on or off Facebook-owned properties. Inline link clicks use a fixed 1-day-click attribution window.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#inline_link_clicks,
inline_post_engagement,ad-insights-account,facebook-ads,The total number of actions that people take involving your ads. Inline post engagements use a fixed 1-day-click attribution window.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#inline_post_engagement,
place_page_id,ad-insights-account,facebook-ads,"The ID of the place page involved in impression or click.
Account-level insights and page_place_id are not compatible with each other, so they **cannot be queried together.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#place_page_id,
place_page_name,ad-insights-account,facebook-ads,,,
social_spend,ad-insights-account,facebook-ads,The total amount you've spent so far for your ads showed with social information. (ex: Jane Doe likes this).,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#social_spend,
video_30_sec_watched_actions,ad-insights-account,facebook-ads,"The number of times your video played for at least 30 seconds, or for nearly its total length if it's shorter than 30 seconds. For each impression of a video, we'll count video views separately and exclude any time spent replaying the video.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#video_30_sec_watched_actions,
website_ctr,ad-insights-account,facebook-ads,The percentage of times people saw your ad and performed a link click.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#website_ctr,
actions,ad-insights-account,facebook-ads,"The total number of actions people took that are attributed to your ads. Actions may include engagement, clicks or conversions.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#actions,
costPerInlineLinkClick,ad-insights-account,facebook-ads,,,
costPerInlinePostEngagement,ad-insights-account,facebook-ads,,,
websiteCtr,ad-insights-account,facebook-ads,,,
cost_per_unique_inline_link_click,ad-insights-account,facebook-ads,The average cost of each unique inline link click. This metric is estimated.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_unique_inline_link_click,
costPerUniqueInlineLinkClick,ad-insights-account,facebook-ads,,,
inlineLinkClickCtr,ad-insights-account,facebook-ads,,,
unique_inline_link_click_ctr,ad-insights-account,facebook-ads,,,
unique_inline_link_clicks,ad-insights-account,facebook-ads,,,
unique_actions,ad-insights-account,facebook-ads,,,
cost_per_action_type,ad-insights-account,facebook-ads,The average cost of a relevant action.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_action_type,
cost_per_unique_action_type,ad-insights-account,facebook-ads,The average cost of each unique action. This metric is estimated.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#cost_per_unique_action_type,
account_currency,ad-insights-account,facebook-ads,Currency that is used by your ad account.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#account_currency,
attribution_setting,ad-insights-account,facebook-ads,The default attribution window to be used when attribution result is calculated. Each ad set has its own attribution setting value. The attribution setting for campaign or account is calculated based on existing ad sets.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#attribution_setting,
dda_results,ad-insights-account,facebook-ads,dda_results,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#dda_results,
qualifying_question_qualify_answer_rate,ad-insights-account,facebook-ads,qualifying_question_qualify_answer_rate,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#qualifying_question_qualify_answer_rate,
instagram_upcoming_event_reminders_set,ad-insights-account,facebook-ads,instagram_upcoming_event_reminders_set,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#instagram_upcoming_event_reminders_set,
total_postbacks,ad-insights-account,facebook-ads,,,
total_postbacks_detailed,ad-insights-account,facebook-ads,,,
total_postbacks_detailed_v4,ad-insights-account,facebook-ads,,,
user_segment_key,ad-insights-account,facebook-ads,"User segment (ex: new, existing) of Advantage+ Shopping Campaigns (ASC). Existing user is specified by the custom audience in ASC settings.",https://developers.facebook.com/docs/marketing-api/insights/breakdowns#user_segment_key,
object_store_url,ad-insights-account,facebook-ads,iTunes or Google Play of the destination of an app ad,https://developers.facebook.com/docs/reference/ads-api/adcreative#object_store_url,
dailyAdsetBudget,ad-insights-account,facebook-ads,,,
dailyCampaignBudget,ad-insights-account,facebook-ads,,,
lifetimeAdsetBudget,ad-insights-account,facebook-ads,,,
lifetimeCampaignBudget,ad-insights-account,facebook-ads,,,
unique_ctr,ad-insights-account,facebook-ads,,,
unique_link_clicks_ctr,ad-insights-account,facebook-ads,,,
catalog_segment_value,ad-insights-account,facebook-ads,The total value of all conversions from your catalog segment attributed to your ads.,https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#catalog_segment_value,
catalog_segment_actions,ad-insights-account,facebook-ads,"The number of actions performed attributed to your ads promoting your catalog segment, broken down by action type.",https://developers.facebook.com/docs/marketing-api/reference/ad-account/insights#catalog_segment_actions,
costPerCatalogSegmentActionType,ad-insights-account,facebook-ads,,,
adSetEffectiveStatus,ad-insights-account,facebook-ads,,,
